BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39710TX6 A800M1,MAP,01162005,A1005463,BR,A1,30,1,1.9100,1,2,48,45,25,119,1,30,,0,0,0,45.0000,48.0000,25.0000,134.0000,0.0000,4
39710TX6 C300M1,MAP,16061006,A500000098,BR,A5,30,1,1.6000,1,5,45,48,19.3,102,1,30,NULL,9,7,12,45.0000,48.0000,19.3000,112.0000,0.0000,5
39710TX6 C800M1,MAP,01162005,A1005463,BR,A1,30,1,1.9100,1,2,48,45,25,119,1,30,,0,0,0,45.0000,48.0000,25.0000,134.0000,0.0000,4
39710TX6 X800M1,MAP,01162005,A1005463,BR,A1,30,1,1.9100,1,2,48,45,25,119,1,30,,0,0,0,45.0000,48.0000,25.0000,134.0000,0.0000,4
39725TLA A000M1,MAP,50004401,XX,D,XX,180,1,0.0300,1,0,11.25,11.25,11.25,1,1,180,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39770TX6 A000M1,MAP,06135009,C000N279,BR,C,30,4,0.3000,1,2,23.62,22.18,13.68,12.3,4,30,,5,5,6,45.0000,48.0000,45.5000,237.2000,56.0000,2
39770TX6 A600M1,MAP,06135009,C000N279,BR,C,30,4,0.3000,1,2,23.62,22.18,13.68,12.3,4,30,,5,5,6,45.0000,48.0000,45.5000,237.2000,56.0000,2
39770TX6 A800M1,MAP,06135009,C2005474,BR,C2,15,4,0.6000,1,1,23.62,22.18,7.25,9.6,4,15,,6,2,5,45.0000,48.0000,46.0000,310.4000,56.0000,2
39770TX6 C800M1,MAP,06135009,C2005474,BR,C2,15,4,0.6000,1,1,23.62,22.18,7.25,9.6,4,15,,6,2,5,45.0000,48.0000,46.0000,310.4000,56.0000,2
39770TZ3 A100M1,MAP,06135009,C2005340,BR,C2,30,4,0.3000,1,1,23.62,22.18,7.25,9.6,4,30,,4,4,5,45.0000,48.0000,46.0000,310.4000,56.0000,2
39770TZ3 A600M1,MAP,06135009,C2005721,BR,C2,30,4,0.1500,2,1,23.62,22.18,7.25,9.6,4,30,NULL,6.18,1.56,5.69,45.0000,48.0000,46.0000,332.9600,56.0000,2
